covariate,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
MAINTENANCE_2,-0.07867920553013844,0.9243363988939194,0.9109922336872779,0.9378760287142835,2.8378296646805095e-26
MAINTENANCE_4,-0.07776900474132104,0.9251781136199181,0.9052935439906087,0.9454994433608703,2.2924097090840084e-12
design_load_ordinal_missing,0.0770629055367587,1.0801100191561033,1.0654527584895936,1.0949689173786041,2.081390444896127e-28
STATE_33,-0.07565405994388044,0.927136884874431,0.8642677147703484,0.9945793283775164,0.03471399315821934
TRAFFIC_DIRECTION_102_2,0.06982542888459237,1.0723209686461634,1.0445584069285012,1.1008214113937562,1.8157868043624067e-07
PIER_PROTECTION_111_2,0.06825742926020427,1.0706408872977882,0.9912561152146495,1.1563831909431177,0.08246961892212201
design_load_ordinal,-0.06703828886167972,0.9351593944625757,0.9313879313472285,0.938946129339078,6.7752301528463e-232
STRUCTURE_TYPE_043B_10,-0.06591403800224237,0.9362113394297282,0.9088283245496225,0.9644194050742847,1.3490322877218056e-05
IS_RURAL_026,0.06005303690177239,1.0618928645594303,1.0455837004261084,1.0784564213679817,2.858221901187632e-14
STRUCTURE_TYPE_043B_2,0.059796865801059404,1.0616208731351355,1.03548834885119,1.0884129015324866,2.572008958312629e-06
SERVICE_ON_042A_1,0.053021223700687216,1.054452024256023,1.0052990821742291,1.1060082428931586,0.029483492039599116
TOLL_020_4,0.05036986533677743,1.0516599970301317,0.8308822550148421,1.3311016605278927,0.675243432335096
STATE_10,-0.04958338760843167,0.9516258010281389,0.8251365284205123,1.0975052418488163,0.4956258677176377
SCOUR_CRITICAL_113,-0.04826571155834313,0.9528805620575281,0.9496088055300859,0.9561635910065324,1.5676368612440703e-166
STRUCTURE_KIND_043A_2,-0.04804101897016813,0.9530946913129659,0.9238334094196138,0.983282788159438,0.0025310878461177132
TOLL_020_2,0.04767474958510031,1.0488294676222543,0.9420805071362539,1.1676743588472118,0.38401736142346465
DECK_PROTECTION_8,0.04601714220072109,1.0470923602705047,1.0189890958246999,1.0759707002060737,0.0009159786530332383
STRUCTURE_TYPE_043B_21,-0.0455593469826153,0.9554628970493795,0.6504863784433842,1.4034257716857776,0.8163433861407753
freeze_thaw_cycles_missing,-0.04066873882645725,0.9601471367405296,0.8984172066150642,1.0261185086429752,0.23033295258184308
STRUCTURE_TYPE_043B_15,0.038617010776413156,1.0393723390073366,0.8581888097759786,1.2588079065906042,0.692741065766336
TRAFFIC_DIRECTION_102_1,-0.03777070035861813,0.9629337159341513,0.9323787942665013,0.9944899508490108,0.021686984407356714
TOLL_020_3,-0.0372100239520626,0.9634737615310175,0.8752400074899298,1.0606024418615352,0.4476623162793778
STATE_32,-0.03703594849663959,0.9636414932634094,0.8172767692070475,1.1362184299449753,0.6594849912883298
ROAD_CLASS_Minor_Collector,-0.03639240257046554,0.9642618404102211,0.9476191351295843,0.9811968357352335,4.18729579273103e-05
VERT_CLR_OVER_MT_053_unrestricted,-0.034730211852817494,0.9658659602979947,0.9461757597291257,0.9859659198302015,0.0009501267600504811
STATE_02,0.034351828570986745,1.0349486671915489,0.9389649160258919,1.1407441592759437,0.48908778160493505
STRUCTURE_TYPE_043B_17,0.03355857796212292,1.0341280190640023,0.8976729051032215,1.1913256529562595,0.6420714597740022
mean_diurnal_range,-0.03341982386678925,0.9671324490630882,0.9587341895899137,0.9756042750815518,5.899875537176458e-14
DECK_PROTECTION_7,0.03314535265468983,1.033700779474584,0.9329670144851593,1.1453109112073114,0.5263406805894142
annual_max_tmax,0.03277260946464237,1.0333155463494605,1.0272938533135423,1.0393725367707392,4.260587925945561e-28
